"id","timestamp","body","recipient_id","user_id","sid"
97,"2021-06-14 18:23:02.602367+00","hey! wo bleibst du ? 😡",22,19,1
98,"2021-06-14 18:23:03.517448+00","Schön von dir zu hören! Heute war einfach ein super Tag😊",15,24,15
99,"2021-06-14 18:23:07.238679+00","kommst du noch 👀",21,14,1
100,"2021-06-14 18:23:09.243406+00","Beginne Szenario 15",18,27,15
101,"2021-06-14 18:23:18.741249+00","Auch das Wetter 😊",15,24,15
102,"2021-06-14 18:23:20.454133+00","Hey, sag mal wo bleibst du denn? Du bist ziemlich spät dran und es ist echt ganz schön kalt 😢😡",12,11,1
103,"2021-06-14 18:23:21.246302+00","Ja. Ich starte mal Szenario 15😊",28,17,0
104,"2021-06-14 18:23:32.544463+00","Beginne Szenario 15",28,17,15
105,"2021-06-14 18:23:33.130605+00","Und selbst?👀",15,24,15
106,"2021-06-14 18:23:49.799062+00","ja alles super 😊🥰",24,15,15
107,"2021-06-14 18:23:52.431147+00","Du sorry, ganz blöd gelaufen. Ich kann leider doch nicht kommen 😢",19,22,1
108,"2021-06-14 18:23:58.076724+00","Super😊",17,28,15
109,"2021-06-14 18:24:02.574109+00","Hey, na? Wie geht es dir? 😊👀",28,17,15
110,"2021-06-14 18:24:06.86953+00","Ohje habe deine Nachricht eben erste gesehen. Leider geht es mir heute gar nicht gut und ich muss dir wohl absagen😢",11,12,1
111,"2021-06-14 18:24:11.244317+00","na alles gut bei dir? habe mitbekommen dass du die letzten tage viel stress hattest?😱",18,27,15
112,"2021-06-14 18:24:15.441665+00","oh, was ein super Tag. Ich hatte es super Wochenende und freue mich auf die Woche. Hoffe dir gehts auch gut!?😊",27,18,15
113,"2021-06-14 18:24:19.715781+00","huhu...👀",21,14,1
114,"2021-06-14 18:24:22.359873+00","Hey Du, tut mir leid, bin grad im Krankenhaus. 😢",14,21,1
115,"2021-06-14 18:24:23.190986+00","hab gehört du bist im stress zurzeit 👀 kann man dir bei was helfen 👀🥰",24,15,15
116,"2021-06-14 18:24:26.032802+00","ich warte schon seit 20 Minuten und der Film hat schon angefangen.. hättest du das nicht vorher sagen können ? es ist arrrschkalt 😡",22,19,1
117,"2021-06-14 18:24:32.002524+00","Oh warte mal kurz..ich bekomme gerade eine Nachricht von einem Kollegen👀",15,24,15
118,"2021-06-14 18:24:33.158101+00","weh ... im Ernst😱",21,14,1
119,"2021-06-14 18:24:37.940971+00","Was? Warum das denn? 😲 Ich bin schon da...",12,11,1
120,"2021-06-14 18:24:45.234152+00","Mir geht's gut. Hatte einen guten Tag😊",17,28,15
121,"2021-06-14 18:24:52.643222+00","Ja, es war ziemlich chaotisch... 😱",27,18,15
122,"2021-06-14 18:24:53.727665+00","Das ist das Problem. Ich bin ausgerutscht und bin gerade im Krankenhaus. Tut mir super leid 😱",19,22,1
123,"2021-06-14 18:24:55.788336+00","ich steh nämlich hier in der Kälte und war am erfrieren ..👀",21,14,1
124,"2021-06-14 18:25:05.845186+00","aber was ist los😱",21,14,1
125,"2021-06-14 18:25:18.304986+00","Katastrophe...😱",15,24,15
126,"2021-06-14 18:25:27.165747+00","schön zu hören dass du ein schöne Wochenende hattest 😊",18,27,15
127,"2021-06-14 18:25:28.572319+00","Vor meiner Haustüre ist Glatteis und ich bin ausgerutscht und so blöd auf mein Steißbein gefallen, dass ich sogar ins Krankenhaus musste😲😢",11,12,1
128,"2021-06-14 18:25:40.911419+00","mach mir sorgen 😲😱",21,14,1
129,"2021-06-14 18:25:45.132193+00","Dort angekommen habe ich gerade deine Nachricht gesehen...😢",11,12,1
130,"2021-06-14 18:25:51.876168+00","Sehr schön! Ich habe gehört, dass du aktuell ziemlich viel Stress hast. Wie geht es dir denn damit? 👀",28,17,15
131,"2021-06-14 18:25:56.153173+00","warum ist es aktuell so chaotisch bei dir? kann ich dir irgendwie zu Seite stehen 👀",18,27,15
132,"2021-06-14 18:25:59.833066+00","oh no. erzähl was ist los ? 👀😱",24,15,15
133,"2021-06-14 18:26:00.595394+00","😲UPs. Jetzt schreibt mir gerade der  Paul. Das ist mein Partner, an dem Projekt an dem ich gerade arbeite,.",17,28,15
134,"2021-06-14 18:26:06.167883+00","Alles schief gelaufen bei dem Projekt...😱 wer soll das jetzt wieder richten",15,24,15
135,"2021-06-14 18:26:07.838446+00","Oh nein 😱😲😢 Gehts dir jetzt wieder besser?",12,11,1
136,"2021-06-14 18:26:17.875385+00","👀WAs will der denn?",17,28,15
137,"2021-06-14 18:26:19.668702+00","was echt ??? Das tut mir natürlich leid.. 😱",22,19,1
138,"2021-06-14 18:26:21.654331+00","Vorhin als ich grad losgehen wollte, bin ich ausgerutsch und so dumm gafallen. Es tat richtig weh, hab dann sicherheitshalber einen Krankenwagen gerufen und konnte jetzt erst auf Handy schauen, sorry dir.😢",14,21,1
139,"2021-06-14 18:26:33.3554+00","OMG🥰",21,14,1
140,"2021-06-14 18:26:36.254295+00","wenn hilfe brauchst sagt halt bescheid 🥰",24,15,15
141,"2021-06-14 18:26:36.826412+00","gute Besserung! ich hoffe das läuft das nächste mal besser😢",22,19,1
142,"2021-06-14 18:26:40.985654+00","Szenario 1 beendet",22,19,1
143,"2021-06-14 18:26:41.678485+00","echt soo doof 😱 hab mich heute morgen schon so aufgeregt. Marcel hat eine Aenderung gemacht am Master-Branch und jetzt ist alles hin. Ich darf das ganze Ding jetzt nochmal starten. 😲😢😢",27,18,15
144,"2021-06-14 18:26:46.255973+00","hast du dir was getan😲😱",21,14,1
145,"2021-06-14 18:26:48.61023+00","😡DAs ikann ja wohl nicht wahr sein.",17,28,15
146,"2021-06-14 18:26:50.129506+00","Beginne Szenario 2",22,19,2
147,"2021-06-14 18:26:50.586098+00","Beginne Szenario 2",19,22,2
148,"2021-06-14 18:26:52.459268+00","Eben erfahren, dass der Kollege, also langjähriger Projektpartner völligen Blödsinn gemacht hat😡",15,24,15
149,"2021-06-14 18:26:58.381452+00","Oh Mist. Kommt ihr denn voran, oder gibt es Probleme? 👀😲",28,17,15
150,"2021-06-14 18:27:03.370118+00","Leider nicht, deswegen kann ich heute leider nicht zum Kino kommen, tut mir leid...😢",11,12,1
151,"2021-06-14 18:27:05.655245+00","der Film hat ja eh begonnen ... 😊",21,14,1
152,"2021-06-14 18:27:08.390657+00","Dann verschieben wir das mit dem Kino und gehen gemeinsam in den Film wenn es dir wieder gut geht! 😊",12,11,1
153,"2021-06-14 18:27:09.42643+00","ich weiss aktuell nicht wie du mir helfen kannst, aber danke fuer dein Angebot. 😢",27,18,15
154,"2021-06-14 18:27:14.705242+00","kann ich dir was helfen? 🥰",21,14,1
155,"2021-06-14 18:27:17.996977+00","hey, alles gut bei dir ?😊",22,19,2
156,"2021-06-14 18:27:20.901361+00","Hört sich ja nicht so gut an 😲😢",28,17,15
157,"2021-06-14 18:27:24.344114+00","Gute Besserung! 😊🥰",12,11,1
158,"2021-06-14 18:27:31.74591+00","und du musst es jetzt wieder ausbaden ?😡",24,15,15
159,"2021-06-14 18:27:32.897063+00","Eigentlich sind wir gut unterwegs - aber nun hat er Mist gebaut 😡",17,28,15
160,"2021-06-14 18:27:35.543003+00","Super, so machen wir das! Dankesehr😊🥰",11,12,1
161,"2021-06-14 18:27:36.275681+00","Klar. bestens. Wie geht's Dir?😊",19,22,2
162,"2021-06-14 18:27:40.88671+00","Szenario 1 beendet",11,12,1
163,"2021-06-14 18:27:41.520894+00","Ohne dich mit technischen Einzelheiten nerven zu wollen..aber er hat Änderungen am master-branch vorgenommen, ohne Absprache😡",15,24,15
164,"2021-06-14 18:27:43.834836+00","Ne zum Glück nichts schlimmes. Die nächsten Tage es ruhiger angehen, dann sollte es schon passen 😊",14,21,1
165,"2021-06-14 18:27:47.483474+00","echt, wie kann sowas passieren. 😡 Ich koennte echt 🤢!",27,18,15
166,"2021-06-14 18:27:48.089356+00","Beginne Szenario 2",11,12,2
167,"2021-06-14 18:27:57.906353+00","Rate mal wer die Suppe auslöffeln darf😡",15,24,15
168,"2021-06-14 18:28:00.610601+00","soll ich dich abholen? oder kommst du heim 👀",21,14,1
169,"2021-06-14 18:28:06.898832+00","😡😡😡ahhhh",27,18,15
170,"2021-06-14 18:28:11.909026+00","Ach so ein Mist. Kann ich dir denn irgendwie dabei helfen? 👀",28,17,15
171,"2021-06-14 18:28:12.827294+00","Jetzt hat er tatsächlich unseren Master-Branch geändert😡",17,28,15
172,"2021-06-14 18:28:19.864705+00","das wird schon wieder! 😊",18,27,15
173,"2021-06-14 18:28:21.696572+00","Alles muss man selbst machen😡",15,24,15
174,"2021-06-14 18:28:26.417206+00","oh mann du arme 😡",24,15,15
175,"2021-06-14 18:28:46.190589+00","Du, lass uns einfach nächste Woche was unternehmen, ok?👀",14,21,1
176,"2021-06-14 18:28:49.830675+00","aber wie ich dich kenn bekommst des wieder hin🥰",24,15,15
177,"2021-06-14 18:28:50.563533+00","Hey, hast du kurz Zeit? Würde dir gerne etwas erzählen😢",11,12,2
178,"2021-06-14 18:28:50.713837+00","falls es irgendwas gibt womit ich dich im Alltag entlasten könnte dann gib mir einfach bescheid😊",18,27,15
179,"2021-06-14 18:28:53.35347+00","Au weh. Das tut mir aber jetzt richtig leid für dich! 🤢😢",28,17,15
180,"2021-06-14 18:28:56.874321+00","Und eine Idee wie man das in den Griff bekommt habe ich auch nicht😱",15,24,15
181,"2021-06-14 18:28:58.751425+00","Das Problem ist, das man die Änderung nicht zurücksetzen kann 😱",17,28,15
182,"2021-06-14 18:29:00.440345+00","Beginne Szenario 1",26,25,1
183,"2021-06-14 18:29:09.783988+00","Du bist eine treue Seele, danke Dir! 🥰Irgendwie muss ich das die Woche wieder beginnen.",27,18,15
184,"2021-06-14 18:29:14.731914+00","Ja klar! Was ist denn los? 😢😱",12,11,2
185,"2021-06-14 18:29:14.816043+00","Keine Ahnung, wei das weitergehen soll.😡",17,28,15
186,"2021-06-14 18:29:19.332952+00","Leider nicht, du überschätzt meine Fähigkeiten 😱",15,24,15
187,"2021-06-14 18:29:19.468819+00","aber komisch dass dem Marcel so etwas passiert 😲",18,27,15
188,"2021-06-14 18:29:21.148869+00","Sorry, dass das so lange gedauert hat. Jetzt bin ich bereit. 😊",23,29,0
189,"2021-06-14 18:29:25.626112+00","... und beim nächsten Mal, meld dich doch gleich....habe mir echt Sorgen gemacht 😱",21,14,1
190,"2021-06-14 18:29:30.468816+00","Hallo 😊",25,26,1
191,"2021-06-14 18:29:37.662736+00","Verstehe deinen Unmut vollkommen 👀😢",28,17,15
192,"2021-06-14 18:29:39.308802+00","Haha warte, falsch verstanden.. Neustart SZENARIO 2👀",19,22,2
193,"2021-06-14 18:29:39.812514+00","und klar wegen nächsten Woche 😊machen wir...",21,14,1
194,"2021-06-14 18:29:43.82282+00","komme zurecht, Papa ist in 5 min da. Der wurde automatisch wegen dem Notfallkontakt angerufen. 😊",14,21,1
195,"2021-06-14 18:29:47.171691+00","echt ein trottel manchmal 😡",18,27,15
196,"2021-06-14 18:29:52.071043+00","Mein lieber Hund Bello ist gestern nach 12 Jahren leider verstorben...😢😢",11,12,2
197,"2021-06-14 18:29:55.654046+00","Ich wünschte ich könnte dir irgendwie weiterhelfen! 👀",28,17,15
198,"2021-06-14 18:29:56.277049+00","DAs hilft aber nicht. 😡",17,28,15
199,"2021-06-14 18:29:57.388223+00","Weiss auch nicht, glaube er ist im Moment auch einfach ueberlastet. Ich spreche die Tage nochmal mit ihm 👀",27,18,15
200,"2021-06-14 18:30:00.183042+00","Naja vielleicht bekomme ich noch eine Idee, die Woche ist ja noch jung 👀",15,24,15
201,"2021-06-14 18:30:02.837246+00","hahah 👀",22,19,2
202,"2021-06-14 18:30:03.711085+00","Hey 😊",26,25,1
203,"2021-06-14 18:30:06.423582+00","Danke Dir in jedem Fall!😊",27,18,15
204,"2021-06-14 18:30:10.756825+00","Ich warte jetzt seit 20 min vor dem Kino und frag mich wo du bist? 👀",26,25,1
205,"2021-06-14 18:30:14.634765+00","gerne ! 😊",18,27,15
206,"2021-06-14 18:30:17.96254+00","Szenario 15 beendet",18,27,15
207,"2021-06-14 18:30:19.906047+00","Szenario 15 beendet",15,24,15
208,"2021-06-14 18:30:23.347796+00","und am besten hole ich dich ab...🥰 dann muss ich mir nicht in der Kälte den Hintern abfrieren und Sorgen machen 😡🥰",21,14,1
209,"2021-06-14 18:30:24.40738+00","Beginne Szenario 16",18,27,16
210,"2021-06-14 18:30:28.833121+00","Oh nein 😲😢 was ist denn passiert?",12,11,2
211,"2021-06-14 18:30:29.634581+00","also: Hey alles gut bei dir ? 😊",22,19,2
212,"2021-06-14 18:30:30.239955+00","Du erwischst mich gerade zu keinem guten Zeitpunkt - gestern ist mein Hund gestorben, mein lieber Dackel 😢",19,22,2
213,"2021-06-14 18:30:33.244396+00","schön😊",15,24,0
214,"2021-06-14 18:30:35.729985+00","Beginne Szenario 16",24,15,16
215,"2021-06-14 18:30:36.29832+00","👀Nun wird wohl nichts übrigbleiben, als neu anzufangen",17,28,15
216,"2021-06-14 18:30:38.84283+00","Das weiß ich. Mehr als Mitleid haben und dir meine Hilfe anbieten kann ich gerade aber trotzdem nicht 👀",28,17,15
217,"2021-06-14 18:30:41.255003+00","ohh nein das tut mir so leid 😱",22,19,2
218,"2021-06-14 18:30:53.301762+00","Können wir starten? 👀",23,29,0
219,"2021-06-14 18:30:53.969741+00","hey du, ich habe echt ein Riesen Problem 😱",18,27,16
220,"2021-06-14 18:30:58.207416+00","na dann bist du ja bestens versorgt... bis nächste Woche dann 😊",21,14,1
221,"2021-06-14 18:31:00.354242+00","wenn ich etwas für dich tun kann, sag mir Bescheid!!🥰",22,19,2
222,"2021-06-14 18:31:03.327021+00","Szenario 1 beendet",21,14,1
223,"2021-06-14 18:31:07.684197+00","Alles so schlimm aktuell, ich komm gar nicht klar 😢",19,22,2
224,"2021-06-14 18:31:11.757435+00","Hi, ja sorry bei mir war etwas falsch eingegeben 😊",29,23,0
225,"2021-06-14 18:31:13.180677+00","👀 was ist los??",27,18,16
226,"2021-06-14 18:31:13.374252+00","Der Film hat auch schon begonnen 😢",26,25,1
227,"2021-06-14 18:31:15.087879+00","Danke 🥰",19,22,2
228,"2021-06-14 18:31:16.927126+00","hey die party war ja wieder wild gestern 😊👀",24,15,16
229,"2021-06-14 18:31:18.736803+00","Er war einfach sehr alt und krank und musste deswegen eingeschläfert werden, sodass er nicht so sehr leidet😢",11,12,2
230,"2021-06-14 18:31:20.072781+00","Ohh das tut mir leid, ich bin leider verhindert, mir geht es nämlich ziemlich schlecht 😢",25,26,1
231,"2021-06-14 18:31:22.016591+00","hast du zufällig mein Geldbeutel in deiner Wohnung gesehen ?😱",18,27,16
232,"2021-06-14 18:31:25.035758+00","hab's mal beendet ... auf zum nächsten Scenario, du fängst an oder? 👀",21,14,0
233,"2021-06-14 18:31:31.626405+00","Beginne Szenario 1",23,29,1
234,"2021-06-14 18:31:35.6051+00","Puuh also wie gesagt. Wenn ich dir irgendwie zur Seite stehen kann, dann melde dich! 😊👀",28,17,15
235,"2021-06-14 18:31:36.105114+00","Szenario 1 beendet",23,29,1
236,"2021-06-14 18:31:37.264354+00","Beginne Szenario 2",21,14,2
237,"2021-06-14 18:31:41.465339+00","Ich glaube, ich muss hier mal Schluss machen und mich dem Problem widmen 😢 Hätte lieber weiter mit Dir über Schöneres gecahtet 😊",17,28,15
238,"2021-06-14 18:31:43.767988+00","Oh nein, so ein Mist! Was hast du denn? 😢",26,25,1
239,"2021-06-14 18:31:44.48713+00","Ja, super dass du auch da warst 😊",15,24,16
240,"2021-06-14 18:31:45.769817+00","Beginne Szenario 15",23,29,15
241,"2021-06-14 18:31:45.955614+00","ach mann, soll ich vorbeikommen ? 😢",22,19,2
242,"2021-06-14 18:31:52.126413+00","hast du ihn wieder verloren weil du so betrunken warst gestern???😱",27,18,16
243,"2021-06-14 18:32:04.351086+00","😊BIs dann",17,28,15
244,"2021-06-14 18:32:08.481776+00","nach der Party letzten Samstag bin ich von dir direkt nach hause, denke ich zumindest 😢",18,27,16
245,"2021-06-14 18:32:10.389921+00","Das würde mich freuen. Dann sehen wir uns gleich 🥰😊",19,22,2
246,"2021-06-14 18:32:13.433861+00","ich war leider bisschen betrunken am ende🤢😢",24,15,16
247,"2021-06-14 18:32:17.389769+00","Hi 😊",29,23,15
248,"2021-06-14 18:32:21.631317+00","Das tut mir sehr leid, aber dann muss er wenigstens nicht mehr leiden 😢 ihm wird es sicher gutgehen im Hunde-Himmel 🥰 da kann er den ganzen Tag auf Schuhen rumkauen und über Wiesen laufen 😊",12,11,2
249,"2021-06-14 18:32:22.225684+00","Nein, habe nicht gefunden hier beim Auftraeumen heute morgen. 😢",27,18,16
250,"2021-06-14 18:32:22.775903+00","ich mach mich sofort auf den Weg, bis gleich!!😊🥰",22,19,2
251,"2021-06-14 18:32:25.363623+00",".... Bella ist gestern gestorben... 😢",14,21,2
252,"2021-06-14 18:32:27.140198+00","Szenario 2 beendet",22,19,2
253,"2021-06-14 18:32:30.741889+00","Szenario 2 beendet",19,22,2
254,"2021-06-14 18:32:32.168282+00","ich such jetzt mein Geldbeutel. hast du den vllt gesehen ? 👀",24,15,16
255,"2021-06-14 18:32:33.778279+00","also kann er fast nur bei dir liegen👀",18,27,16
256,"2021-06-14 18:32:37.436594+00","Verstehe ich vollkommen! Das Problem bekommst bestimmt gelöst und wir hören uns dann wieder. Bis dann! 😊",28,17,15
257,"2021-06-14 18:32:39.289089+00","Beginne Szenario 3",19,22,3
258,"2021-06-14 18:32:39.880544+00","Ich bin auf dem Glatteis vor meiner Haustüre ausgerutsch und auf mein Steißbein gefallen. Jetzt musste ich leider sogar ins Krankenhaus 😢",25,26,1
259,"2021-06-14 18:32:40.996295+00","was 😱",21,14,2
260,"2021-06-14 18:32:47.439706+00","das ist sehr komisch😲",18,27,16
261,"2021-06-14 18:33:00.282617+00","Szenario 15 beendet",17,28,15
262,"2021-06-14 18:33:00.817352+00","ach du liebe Güte, was ist passiert 👀😱",21,14,2
263,"2021-06-14 18:33:07.790637+00","Hab Sie als süßen Welpen vor 12 Jahren bekommen....🥰",14,21,2
264,"2021-06-14 18:33:15.076473+00","Ich habe das ganze Haus von oben bis unten geputzt. Ich bin absolut sicher, dass hier nichts mehr ist, was mir nicht gehoert. 😊",27,18,16
265,"2021-06-14 18:33:17.498506+00","so betrunken war ich aber eigentlich nicht dass ich ih  auf dem weg nach hause hätte verlieren können 😲",18,27,16
266,"2021-06-14 18:33:25.78274+00","Hello, wie gehts? Freu mich schon so auf Freitag Abend! 😊🥰🥰",22,19,3
267,"2021-06-14 18:33:26.548833+00","Also ich habe eben die ganze Wohnung geputzt😊 Niemand hat etwas bei mir vergessen😊",15,24,16
268,"2021-06-14 18:33:27.173974+00","Beginne Szenario 16",17,28,16
269,"2021-06-14 18:33:29.453363+00","ja, da erinnere ich mich dran ... wirklich ein süßer Hund 🥰",21,14,2
270,"2021-06-14 18:33:32.472868+00","Dachte ich zumindest👀",15,24,16
271,"2021-06-14 18:33:38.421955+00","Ja da hast du Recht, denke auch, dass es ihm dort jetzt besser geht!🥰 und die ganzen schönen Erinnerungen bleiben mir ja zum Glück!😊",11,12,2
272,"2021-06-14 18:33:38.758032+00","Hi, ich habe gerade an dich gedacht! 😊",23,29,15
273,"2021-06-14 18:33:42.546684+00","Du könntest dir ja ein Bild von ihm auf den Schreibtisch stellen, dann siehst du ihn jeden Tag 😊🥰",12,11,2
274,"2021-06-14 18:33:43.936173+00","kam das denn überraschend😢",21,14,2
275,"2021-06-14 18:33:45.045301+00","verdammte Axt 😡",18,27,16
276,"2021-06-14 18:33:47.921037+00","Ich denke, bei der Rasse war das jetzt einfach mal die Altersschwäche 😢",14,21,2
277,"2021-06-14 18:33:49.628152+00","Hey, du ich hab ne ganz doofe Frage 👀",28,17,16
278,"2021-06-14 18:33:53.643289+00","Tut mir leid, dass ich unsere Verabredung nicht abgesagt habe, jedoch hatte ich keine Zeit mehr dir aus dem Krankenwagen zu schreiben 😢",25,26,1
279,"2021-06-14 18:33:54.237966+00","Wir haben uns ja schon ewig nicht mehr gesehen 😢",22,19,3
280,"2021-06-14 18:33:54.721161+00","bei mir ist jedenfalls nichts 👀 sorry 😢",27,18,16
281,"2021-06-14 18:33:55.443594+00","nie wieder Alkohol 😡",18,27,16
282,"2021-06-14 18:33:59.253193+00","Also muss ich dich leider enttäuschen 😢",15,24,16
283,"2021-06-14 18:34:00.84796+00","Das ist ja lustig 😊",29,23,15
284,"2021-06-14 18:34:06.734474+00","hmm scheiße😡 da war viel geld drin und die karten muss ich auch alle neu beantragen 🤢😡",24,15,16
285,"2021-06-14 18:34:08.360963+00","Hallo, Du ich hab gerade leider so viel zu tun wegen der Bachelorarbeit. Leider komm ich gar nicht hinterher. Gibt schon wieder neue Anforderungen und ich muss das ganze Wochenende durcharbeiten.. 😢🤢",19,22,3
286,"2021-06-14 18:34:09.737192+00","Wie geht es dir denn? 🥰",23,29,15
287,"2021-06-14 18:34:10.371746+00","Das ist eine sehr gute Idee von dir! Ich denke, das werde ich machen😲🥰",11,12,2
288,"2021-06-14 18:34:13.856501+00","weh, aber du fühlst dich vermutlich trotzdem sehr sehr traurig 😢🥰",21,14,2
289,"2021-06-14 18:34:15.313979+00","😲HAllo, bist Du denn schon aiusgeschlafen?",17,28,16
290,"2021-06-14 18:34:16.480556+00","Hab ich gestern nach der Party meinen Geldbeutel bei dir liegen lassen ?👀🤢",28,17,16
291,"2021-06-14 18:34:17.072944+00","Ich muss mich mal bei dir auskotzen 😡",29,23,15
292,"2021-06-14 18:34:17.803438+00","Ach du Schande, hört sich ziemlich schmerzhaft an 😢",26,25,1
293,"2021-06-14 18:34:18.389187+00","aber danke dir fürs suchen ! 😊",18,27,16
294,"2021-06-14 18:34:24.138663+00","hahahaha - das sagst du auch immer nach meinen Parties :)🥰",27,18,16
295,"2021-06-14 18:34:25.418425+00","Szenario 2 beendet",12,11,2
296,"2021-06-14 18:34:29.453429+00","Muss woanders liegen, tut mir leid dass ich nicht helfen kann😢",15,24,16
297,"2021-06-14 18:34:30.034436+00","Können wir es verschieben? 👀🤢",19,22,3
298,"2021-06-14 18:34:31.769807+00","Der Abbau der letzten 6 Monate war ziemlich deutlich zu sehen, aber so schlecht ging es ihr eigentlich nicht.😢😲",14,21,2
299,"2021-06-14 18:34:31.866052+00","klar 😊",27,18,16
300,"2021-06-14 18:34:38.474003+00","Szenario 16 beendet",27,18,16
301,"2021-06-14 18:34:41.9882+00","Beginne Szenario 3",11,12,3
302,"2021-06-14 18:34:42.017219+00","Beginne Szenario 3",12,11,3
303,"2021-06-14 18:34:42.994327+00","Alles gut, damit hab ich echt nicht gerechnet 😲",26,25,1
304,"2021-06-14 18:34:43.872619+00","ich hab mich so drauf gefreut.. echt schade 😢",22,19,3
305,"2021-06-14 18:34:44.526511+00","ok aber danke fürs nachschauen 😊",24,15,16
306,"2021-06-14 18:34:46.007565+00","vermutlich taucht er bei mir unterm Sofa auf :D 😲",18,27,0
307,"2021-06-14 18:34:56.253518+00","Nicht wirklich, aber vermisse meinen Geldbeutel 👀",28,17,16
308,"2021-06-14 18:34:57.074587+00","aber klar, bachelorarbeit geht vor 🤢",22,19,3
309,"2021-06-14 18:34:58.679202+00","Szenario 16 beendet",24,15,16
310,"2021-06-14 18:34:58.877722+00","Ja ist es auch, mal schauen was die Ärzte sagen 👀",25,26,1
311,"2021-06-14 18:34:58.911568+00","😊",27,18,0
312,"2021-06-14 18:34:59.774668+00","Ich wünsche dir eine gute Besserung und das du schnell wieder auf die Beine kommst 🥰",26,25,1
313,"2021-06-14 18:35:02.748348+00","Klar! Gerne 😊##",15,24,0
314,"2021-06-14 18:35:04.56768+00","also warst du doch sehr überrascht 😢das tut mir so leid für dich 🥰",21,14,2
315,"2021-06-14 18:35:07.991633+00","Beginne Szenario 17",15,24,17
316,"2021-06-14 18:35:09.611652+00","Ich habe dir doch von dem großen Projekt bei der Arbeit erzählt? 👀",29,23,15
317,"2021-06-14 18:35:13.568333+00","Beginne Szenario 17",27,18,17
318,"2021-06-14 18:35:15.251117+00","Hey, sag mal was wollen wir denn machen wenn wir uns endlich mal wieder sehen 😊🥰👀",12,11,3
319,"2021-06-14 18:35:17.234579+00","Dafür bin ich doch da! 🥰",23,29,15
320,"2021-06-14 18:35:19.08706+00","Kannst Du denn auch Montag, nach meiner Abgabe könnten wir uns treffen? 👀 Auf lecker Bierchen",19,22,3
321,"2021-06-14 18:35:21.903469+00","aber wenn es so schnell ging, musste sie vielleicht nicht leiden 🥰",21,14,2
322,"2021-06-14 18:35:24.133423+00","😲Ich habe gerade alles aufgeräumt. War ja eine ganz schöne Schlacht gestern 🤢 Aber gefunden habe ich nichts",17,28,16
323,"2021-06-14 18:35:30.820741+00","Ja schon😢",14,21,2
324,"2021-06-14 18:35:33.305934+00","Sag mir Bescheid, wenn du länger bleiben musst, dann komm ich dich ganz bald besuchen 😊",26,25,1
325,"2021-06-14 18:35:33.451982+00","Danke und entschuldige noch einmal, dass ich nicht kommen konnte 🥰",25,26,1
326,"2021-06-14 18:35:34.186358+00","tröstet dich nicht dieser Gedanke 🥰",21,14,2
327,"2021-06-14 18:35:36.956347+00","hey habs von deinem hund gehört. tut mir echt leid😲😢",24,15,17
328,"2021-06-14 18:35:45.89812+00","ja, das sollte klappen 😊",22,19,3
329,"2021-06-14 18:35:50.248486+00","😢😢😢😢😢😢😢 Leo. Ich vermisse ihn so sehr!!!",27,18,17
