utterance,emotion,did
{\an}Wir sollten wirklich öfter spielen.,neutral,75
Gute Idee. Heute Abend wär nicht schlecht.,neutral,452
"Oh ja, ja! Der Hummer war's.",neutral,452
Mir war die ganze Nacht übel.  Ging mir auch so.,neutral,452
Wieso sind wir uns auf dem Klo nicht begegnet?,surprise,452
"Es gibt so viele Leute, die Mac spielen können,",surprise,293
"und nur einen, der ihn steuern kann. Dass man mich feuert, wusste ich nicht.",surprise,293
Was mache ich jetzt?,neutral,293
Was mache ich jetzt?,fear,293
Danke. Aber ich habe ein Problem...,fear,293
"Nein, du musst versuchen, den Mann für dich zu gewinnen.",neutral,293
Das ist eine super Idee!,neutral,293
"Wenn ich meinen Charme spielen lassen muss, vergeude ich ihn nicht an euch.",neutral,293
"Oh, aber für dich habe ich natürlich noch was in Reserve.",joy,293
"Findest du, äh, Joey charmanter als mich?",neutral,293
"Ja, deswegen schlafe ich nebenbei auch mit Joey.",sadness,293
Das möchtest du wohl gern.,joy,293
Das möchtest du wohl gern.,neutral,293
"Äh, ich nehme den, der näher steht.  Ok.",neutral,251
"Weißt du, was du für Qualen hattest, als du das letzte Mal aufhörtest.",neutral,251
Das hier vielleicht?  Ist gut. Ok.,neutral,251
Reicht.,neutral,251
Wow.,surprise,251
Ich bin dennoch sehr erleichtert.,neutral,251
"Erleichtert?  Ja, na ja,",surprise,251
"Joey, du hast so idiotisch ausgesehen.",joy,219
Ich war aber nicht der Einzige.,neutral,219
"Wisst ihr noch, wie Ross ""Kürbissuppe"" sagen wollte?",joy,219
"Und stattdessen hat er ""Kürbispuppe"" gesagt.",joy,219
Das ist wirklich ein guter Vergleich.,neutral,219
Das war mein schlimmstes Thanksgiving.,sadness,219
Ich will diese Geschichte nicht erzählen.,sadness,219
"Geschichten, die einen immer noch belasten, gehören doch zu Thanksgiving.",neutral,219
Für mich jedenfalls.,sadness,219
Für mich jedenfalls.,sadness,219
Gerade du willst die Geschichte bestimmt nicht hören.,anger,219
Häh?  Nein.,neutral,52
Weiß nicht.,neutral,52
"Ich will nur nachfragen, ob in meinem Haus eine Wohnung frei wurde.",neutral,52
"Oh, ich würde dir gern was sagen.",joy,52
Was denn?  Ich kann's dir nicht sagen.,neutral,52
Was denn?  Ich kann's dir nicht sagen.,neutral,52
"Wenn du mir was sagen musst, sag's. Das wäre nicht so kompliziert.",neutral,52
"Na, du machst es dir ja einfach.",neutral,52
Na gut.,neutral,52
Irgendwas mit Joey?  Auch nicht.,neutral,52
Hat es vielleicht was mit Chandler und der Socke an seinem Bett zu tun?,neutral,52
"Nein, aber darüber würde ich mich gern unterhalten.",neutral,52
Ein Gast möchte dir für das Essen danken. Darf er reinkommen?,neutral,52
"Na klar, so was höre ich immer gern!",joy,52
Kommen Sie herein.  Hi.,neutral,52
Was ist passiert?,neutral,294
Wieso schreist du so?  Oh!,joy,294
"Da kommt der Künstler!  Hallo, Joey!",joy,826
"Da kommt der Künstler!  Hallo, Joey!",joy,826
"Na, wie war's? Hat's euch gefallen?",neutral,826
Fast so gut wie das Stück mit den  nackten Frauen auf der Schaukel.,joy,826
Da habe ich nicht mitgespielt.  Ich weiß.,sadness,826
"{\an}Phoebe, wir sind wahnsinnig stolz auf dich. Du warst unglaublich!",joy,502
"{\an}Ja, ich weiß.",neutral,502
"{\an}Tut es so weh, wie die Leute sagen?",joy,502
Ist der Kaffee bald durch?  Ja. Er ist gleich fertig.,neutral,247
Ist der Kaffee bald durch?  Ja. Er ist gleich fertig.,neutral,247
Ich weiß.,joy,247
"Sie haben sicher überlegt, weswegen so ein intelligentes Mädchen wie Sie,",surprise,247
"Also, wo ist der Truthahn?",neutral,247
"Ich kann es föhnen oder Gel hineinschmieren, egal, was ich mache,",neutral,1021
"Ich kann es föhnen oder Gel hineinschmieren, egal, was ich mache,",neutral,1021
"Hast du irgendeine Chance, das wieder zu verdrängen?",neutral,1021
Hey.  Hey.,joy,139
Das ist doch deins.,neutral,139
Ich bin eben eine Schlampe.,sadness,139
Ich aber auch.,neutral,139
"Hi, Jill.  Hey.",joy,139
Rachel.  Rachel.,surprise,139
Rachel.  Rachel.,neutral,139
"Ja, das ist wahr.",joy,139
Na dann.,neutral,139
{\an}Ich fand deine Argumentation super.,neutral,139
{\an}Find ich auch. Wer ist diese Monica?,neutral,139
"{\an}Keine Ahnung, ich kenne sie nicht.",anger,139
{\an}Hört her! Ich habe eine gute Nachricht für euch!,joy,139
{\an}Einen Test?,surprise,139
{\an}Durch einen Test können wir viel besser lernen!,joy,139
Hi!,joy,61
Was? Oh.,neutral,61
Hi!  Hi!,joy,61
"Weißt du, was ich gleich tue?  Was denn?",neutral,61
"Ich sehe mir das Restaurant an, das Pete gekauft hat.",neutral,61
"Oh, Monica. Das ist total aufregend!  Ich weiß.",joy,61
Und dann hat Zana einen fahren lassen!,surprise,61
"Ich finde es sehr interessant, über die alten Zeiten zu sprechen,",disgust,61
"Über dich, z.B. Ich weiß nicht, wo du arbeitest.",surprise,61
"Oh, Verzeihung.",neutral,61
So ganz aus Versehen.,joy,61
So ganz aus Versehen.,joy,61
"Na? Was ist, Bing?",neutral,61
"Alle haben einen gekriegt, und Sie wollen doch sicher auch einen.",joy,61
"Jetzt aber raus mit Ihnen, Bing!",joy,61
Hey.  Hi.,surprise,462
Hey.  Hi.,surprise,462
Wir haben immer noch keinen festen Platz für die Post.,neutral,462
Jetzt baue ich einen. Aber nun gehe ich einen großen Schritt weiter.,neutral,462
Du willst ein Postamt bauen?,surprise,462
"Nein, das wird eine Schrankwand mit eingebautem Postfach.",neutral,462
In den Jeans siehst du aber heiß aus.,surprise,462
Oh ja. Die habe ich nur zur Arbeit an.,neutral,462
Da ist mir die Motorsäge runtergefallen.,neutral,462
Der Laden war zu. Ich lasse morgen den Schlüssel nachmachen.,neutral,114
Vielleicht auch nicht.,neutral,114
"Du lässt auch keine Chance aus.  Nein, nein.",neutral,114
"Du lässt auch keine Chance aus.  Nein, nein.",surprise,114
"Tja, es wäre schon einfacher, nur über den Flur zu ziehen.",neutral,114
"Wenn Donnerstag nicht ok ist, such dir einen anderen Tag aus.",joy,114
"{\an}Hey, hör dir das an.",neutral,114
"{\an}Hier steht was von einem Laden, der Videos von allen Museen verleiht.",surprise,114
"{\an}Das ist fast so, als wenn wir da selbst hingehen würden.",neutral,114
{\an}Das ist besser! Du kannst z. B. nicht im Pyjama ins Museum gehen.,joy,114
"Dann sagte der Florist, dass er keine Tulpen bekommt.",neutral,272
Der Cellist hat sich krank gemeldet...,neutral,272
"Augenblick, Emily. Ganz ruhig.  Ross, du kannst mich auch mal, ok?",neutral,272
"Nein, das bedeutet Auszeit.  Entschuldige.",anger,272
Du kannst doch nicht einen Fremden mitfahren lassen!,fear,272
"Denkst du, dass ich ihn das vorher nicht gefragt habe?",surprise,272
Mit dir spreche ich gar nicht. Schlaf lieber.,anger,272
Sind Sie ein Vergewaltiger?  Nein.,anger,272
Und mögen Sie Autospiele?,neutral,272
Ja! Kennen Sie das Autonummernspiel?,neutral,272
Das spiele ich sehr gern!,neutral,272
Oh. Da will ich mitspielen!,joy,272
Du sollst ein bisschen schlafen. Gute Nacht! Psst.,anger,272
"Bitte, dann nicht.",anger,397
Was hast du da?  Heiße Milch und ein Schlafmittel.,neutral,397
"So, ich werde gehen.  Gut. Bis dann.",neutral,819
"Hi, Chandler.  Hi, mein Schatz.",neutral,819
"Hi, Chandler.  Hi, mein Schatz.",neutral,819
Kann ich dir nicht sagen. Vertraulich.,neutral,819
Vertraulich? Eheleute sollten keinerlei Geheimnisse haben.,anger,819
"Ich sage nichts. Ha, ha.",neutral,819
"Nein, das meine ich ernst. Ich habe wirklich kein Geheimnis vor dir.",neutral,819
"Ach, nein? Erzähl mir, was Ross passiert ist, während der Zeit in Disneyland.",neutral,819
"Nein, das kann ich nicht.",fear,819
"Wenn du's erzählst, sage ich, was Phoebe gesagt hat.",neutral,819
Na gut.  Ok.,neutral,819
Na gut.  Ok.,neutral,819
"Ross, ähm, und ich fuhren nach Disneyland",neutral,819
Hat er kotzen müssen?,disgust,819
"Er ging in einen kleinen Ort, der hieß Übergebungsdorf.",neutral,819
"Ähm, Nancy Thompson, die hat mal mit Phoebe gearbeitet, wurde rausgeworfen.",neutral,819
Und dafür habe ich die Disneylandstory verraten?,joy,819
"Ja, genau, du hast leider verloren!",joy,819
Nein.,sadness,149
Ich habe sie aber gesehen.  Da hast du dich geirrt. Ok?,neutral,497
"Ich habe mich nicht geirrt. Ich wünschte, es wäre so.",sadness,497
Oh!  Was denn?,surprise,699
Wow! Ich habe gewonnen! Ich habe endlich gewonnen!,surprise,699
Ich hab gewonnen! Das war mein Geld!,anger,699
"Na gut, hier, das ist für Sie.",anger,699
"Entschuldigen Sie, Sir.",anger,699
"Ist das wahr, Miss?",neutral,699
Sie verkauft Drogen an Kinder.  Was?,disgust,699
Sie verkauft Drogen an Kinder.  Was?,disgust,699
Das war wirklich mein Geld.,anger,699
Das war wirklich mein Geld.,neutral,699
Sie verschwinden jetzt.  Sie können mich nicht verhaften!,disgust,699
Ich gehe nie in dieses Höllenloch zurück!,anger,699
Ich will Sie doch nur hier rauskriegen.,anger,699
"Ach so, ok.",neutral,699
"Ma, was willst du denn hier?",surprise,998
Ich wollte dir den Mist hier geben.,neutral,998
Mit dem großen Ring!,surprise,998
"Hi, Schatz.",neutral,997
Wo willst du hin? Ich wollte dir was kochen.,joy,997
Wieso fragst du mich nicht erst?,anger,997
Oh nein.,surprise,997
<i>die BingGellerHochzeit früher stattfinden zu lassen.</i>,neutral,997
Ich werde verrückt! Er weiß nichts davon!,fear,997
Nein!,anger,997
"Ich könnte mir vorstellen, dass die Karte verloren gegangen ist.",fear,989
"Siehst du, was ich sehe?  Er steht noch da.",surprise,989
Mrs. Braverman muss weg sein.,neutral,989
"Sie ist mit Sicherheit verreist, bestimmt für viele Monate.",sadness,989
Bis dahin wird der Kuchen völlig verdorben sein.,fear,989
Das ist gefährlich.  Und das müssen wir verhindern.,fear,989
Wir wollen sie beschützen.,neutral,989
Wir nehmen ihn.  Wir sollten uns beeilen.,fear,989
Wir nehmen ihn.  Wir sollten uns beeilen.,neutral,989
Wieso?  Weil hinter der Tür was zu hören war.,surprise,989
"Los, los, los!",fear,989
Ok.,neutral,160
Mhmhm.,neutral,160
Ich habe eine schlechte Nachricht.  Was?,sadness,160
"Ich gehe schnell mit dir essen, dann muss ich wieder an die Arbeit.",neutral,160
Die Arbeit geht natürlich vor!,joy,160
"Nein, er hat einen besseren Job bekommen.",neutral,160
Das ist ja großartig. Dann müssen wir wohl Abschied nehmen.,joy,160
"Tja, also dann.  Ok.",neutral,160
Wir werden dich hier alle sehr vermissen. Du wirst uns fehlen.,sadness,160
Ihr werdet mir auch fehlen.,sadness,160
"Wir sehen uns dann am Samstag.  Ja, bis dann.",neutral,160
"Wir sehen uns dann am Samstag.  Ja, bis dann.",neutral,160
Und von den Leuten in der Poststelle werde ich auf einmal Rocky genannt.,sadness,160
Was ist?,fear,160
"Nun bist du böse, weil deine beste Freundin nicht geweint hat?",sadness,160
Ich werde doch Gefühle verlangen dürfén!,anger,160
Ist das zu viel verlangt nach  Jahren?,anger,160
Sind Rachel und ich uns nicht so nah wie ihr ?,anger,160
Sind Rachel und ich uns nicht so nah wie ihr ?,anger,160
Wir beide hatten so viel Spaß. Da habe ich doch ein paar Tränen verdient.,anger,160
Wir beide hatten so viel Spaß. Da habe ich doch ein paar Tränen verdient.,sadness,160
Joey hat geheult wie ein Schlosshund.,sadness,160
Hey! Ich habe nicht geheult wie ein Schlosshund!,anger,160
Hey! Ich habe nicht geheult wie ein Schlosshund!,anger,160
Das ist doch das Ende einer Ära!,sadness,160
Nie mehr JMan und Chan!,sadness,160
Au!  Was hast du denn?,neutral,25
"Au, mir tut die Seite so schrecklich weh von unserem gestrigen Sturz.",neutral,25
"Oh, Gott. Das tut mir so leid.  Ja, schon gut. Au!",sadness,25
"Oh, Gott!",surprise,25
"Wollt ihr raten, was heute passiert ist?  Hey.",joy,25
Du hast einen Job auf einem Dampfer gekriegt.,neutral,25
"Ich habe diesen Anzug nicht getragen, weil du ihn nicht mochtest.",anger,25
"Und nun als Single kannst du wieder so dämlich aussehen, wie du willst.",anger,25
"Dir gefällt er, stimmt's?",neutral,25
"Na, klar. Dir steht er viel besser als Frank Sinatra. Singst du uns was vor?",neutral,25
"Raus mit der Sprache, was wolltest du uns erzählen?",neutral,25
"Raus mit der Sprache, was wolltest du uns erzählen?",neutral,25
"Ok, tschüss.",anger,25
Weiß nicht.,neutral,25
Ja.,neutral,25
"Aber das ist nicht das Gesicht eines Menschen, der einem anderen vertraut.",anger,25
"Das ist das Gesicht eines Menschen, der einem",anger,25
Es tut mir leid. Es tut mir leid.,sadness,25
"Aber beruhige dich, ja? Ich weiß, was ich zu tun habe.",anger,25
Jetzt können Sie es!,joy,25
Wir sind atemberaubend! Wir sind einfach nicht zu schlagen!,joy,25
"Ja, das ist wahr. Ich danke Ihnen, Tribbiani. Ha.",joy,25
"Ach, so! Ja, ja, schon klar!",joy,25
Oder wollen Sie noch mal üben? Wie wär's mit dem Foxtrott? Oder Tango?,neutral,25
"Ah, recht vielen Dank, aber nein.",neutral,25
"Ok, ha.",neutral,25
Zeigen Sie es den Weibern!  Ok.,neutral,25
"Hey, äh... Wollen Sie nicht mitkommen? Marge hat eine nette Freundin.",neutral,25
Wirklich?  Ja.,surprise,25
"Sie würden gut zusammenpassen, sie hat genau meine Figur.",neutral,25
"Nein, vielen Dank! Danke.",neutral,25
Ich habe meiner Frau von Tulsa erzählt und sie ist dagegen.,neutral,796
"Und, äh, was hast du so gemacht?",neutral,9
"Na, so Verschiedenes.",neutral,9
"Und falls es dich interessiert,",neutral,9
"{\an}Warte mal bitte, ich hab da noch einen Anruf.",joy,9
{\an} Ich bin wieder dran.  Wollen wir uns mal wieder treffen?,neutral,9
{\an} Ich bin wieder dran.  Wollen wir uns mal wieder treffen?,neutral,9
"Äh, und ob wir das wollen.",neutral,9
Gut. Bis dann.  Ok.,neutral,9
So ein Telefon ist doch wirklich eine super Erfindung.,joy,9
"{\an}Am Telefon hat das ja prima geklappt,",neutral,9
wird sie Trost in den Armen eines Fremden suchen.,neutral,9
"Also, das ist aber ganz schön fies von dir.",disgust,9
"Ok, superfies.",anger,9
Darf ich mal durch? Oh! Hallo!,fear,9
Oh.  So schlimm ist es gar nicht.,neutral,9
Am schlimmsten ist es in den Schlafzimmern.,sadness,9
"Oh, mein Gott.",surprise,9
"Oh, mein Gott.",surprise,9
"Hey, Meister, würden Sie mir Ihre Uniform ausleihen?",neutral,9
"Wie bitte?  Aber Joey, er ist bei der Arbeit!",surprise,9
"Wie bitte?  Aber Joey, er ist bei der Arbeit!",anger,9
Was ist los?,neutral,9
Monica und ich hatten einen blöden Streit.,sadness,9
"Oh je, wie schlimm ist es denn?  Oh. Furchtbar. Wirklich furchtbar.",sadness,9
"Oh je, wie schlimm ist es denn?  Oh. Furchtbar. Wirklich furchtbar.",sadness,9
Aber ihr wollt doch noch zusammenziehen? Heute erscheint meine Anzeige.,neutral,9
"""Mitbewohnerin gesucht, die hübsch ist und nicht raucht.""",joy,9
Wie sieht es bei dir aus?  Alles ruiniert.,neutral,9
Sehr gut.  Ja?,neutral,9
"Mein Bett, meine Kleidung. Das war mein Lieblingspulli.",sadness,9
"Ich dachte, wäre doch nett, jetzt mal eine Mitbewohnerin zu haben.",neutral,9
Ist das nicht meiner?,neutral,9
Es tut mir leid für deinen Lieblingspulli.,anger,9
"Jemand, der mir was beibringen kann, der ein völlig anderer Mensch ist.",neutral,9
Hier können Sie erstmal nicht wohnen. Haben Sie eine andere Möglichkeit?,neutral,9
"Ein Kerl, der so ungefähr  ist",neutral,9
"Ok, hören Sie mal,",joy,9
"Ja, die  können bei uns wohnen.",neutral,9
"Wodurch wurde das Feuer verursacht, Mr. Fireman?",neutral,9
"dass ich mich nach ein paar Sekunden entschuldige, weil ich gebrüllt habe.",neutral,83
"Meine Wohnung ist verschwunden, weil ich sie völlig ausgetrunken habe.",neutral,83
Wuhhu!,joy,83
"Hört auf, zu johlen. Nicht so laut.",anger,83
Was ist denn dann passiert?,surprise,83
Ich habe mit Joeys Schwester rumgeknutscht.,sadness,83
Das war nicht das Schlimmste.  Was ist das Schlimmste?,neutral,83
"Ich weiß nicht mehr, welche Schwester.",sadness,83
"Wenn du so dringend ein Baby willst, dann klau doch eins!",anger,83
Seit wann bist du denn so verrückt nach Babys?,surprise,83
"Ich bin nicht verrückt nach Babys, ich bin auf uns verrückt.",joy,83
Was?,surprise,83
Wir haben öfter über Babys gesprochen. Es muss ja nicht sofort sein.,neutral,83
Wir sind wirklich gut.,joy,83
Wir sind wirklich gut.,neutral,83
Wie geht's denn so?,neutral,83
"Eine Frage, wer sind Sie?",anger,83
"Äh, dass ich Kirk Douglas bin, glauben Sie nicht, oder?",neutral,83
Hey.  Hey.,neutral,556
Hey.  Hey.,neutral,556
"Wenn du hergekommen bist, um mich zu verprügeln, das verdiene ich.",sadness,556
"Nein, das hab ich doch gar nicht vor.",neutral,556
Und was dann? Trittst du mich?,anger,556
Nein.,neutral,556
"Ich weiß gar nicht, was ich tun soll.",surprise,556
"Erinnerst du dich an das Mädchen vom College, das Regisseurin wurde?",neutral,106
"Oh ja, Dana Keystone. Sie war in meinem BewegungsKurs.",neutral,106
Was ist bitte ein BewegungsKurs?  Das sollte nur Pantomime heißen.,neutral,106
Sie dreht den neuen AlPacinoFilm. Verschaff mir ein Casting.,joy,106
Das Räucherstäbchen hier ist auf der Hälfte des Weges zusammengebrochen.,anger,106
"Ja, meine Lungenkapazität hat nachgelassen.",neutral,106
"Kannst du mir sagen, wieso du dann noch qualmst?",disgust,106
"Weil's mich beruhigt, ganz einfach.",sadness,106
"{\an}Wir haben nur einfach ein Kind zusammen, äh, das ist alles, weißt du?",neutral,106
"{\an}Äh, das ist für uns keine Frage. Wir freuen uns sehr auf unser Kind.",neutral,106
{\an}Oh. Na dann halt ich besser die Klappe.,neutral,106
"{\an}Ach, das wäre ja zu schön.",neutral,106
"{\an}Oh, oh. Gott, jetzt kommt sie wieder!",fear,106
"Kerzen, Champagner...",joy,306
"weil die Liebe etwas ganz Besonderes ist, oder?",joy,306
Rachel hat mit mir Schluss gemacht.,sadness,306
"Das ist ja schrecklich, Ross, das tut mir wirklich sehr leid.",joy,306
Jetzt hör mal zu.,neutral,306
Wollen wir uns morgen treffen?  Furchtbar gern.,joy,306
Ich freue mich.,joy,306
"Das Ganze fing an, als Rachel einen neuen Job bekommen hat.",neutral,306
Es ist herrlich.,joy,171
"Hey, ich wollte dich mal was fragen.",neutral,171
Ok.  Ok.,neutral,171
Ich sag's jetzt.,neutral,171
"Oh.  Ja, das ist richtig.",surprise,171
"Oh.  Ja, das ist richtig.",neutral,171
Sieh dir dieses süße Kätzchen an!,surprise,171
Natürlich nicht.,anger,171
Ich auch!,joy,171
"Wenn die Musik anfängt,",neutral,171
Wir halten uns lieber an die Nummer. Wir wollen nicht dämlich aussehen.,joy,171
".  , , .",joy,171
"..., ,  !",neutral,171
Schnitt!  Nein!,neutral,171
...Jahr!,joy,171
Und jetzt kommt gleich die LiveSchaltung zum Times Square!,joy,171
"Ok, der passt.",joy,694
{\an} Wessen ist das?  Aber das spielt doch keine Rolle.,neutral,694
{\an} Wessen ist das?  Aber das spielt doch keine Rolle.,sadness,694
"Wolltet ihr nie wissen, was das für ein Schalter ist?",neutral,904
"Der Hausmeister weiß nicht Bescheid, und der Elektriker,",neutral,904
{\an} Nun werde ich aufgeben.  Gott sei Dank.,disgust,904
{\an}Joey hatte wohl recht.,joy,904
{\an}Siehst du?,anger,904
"Noch nicht, noch nicht, noch nicht!",fear,965
"Amy Welsh? Die habe ich nicht mehr gesehen, seit...",surprise,965
Ja. Meine Schwester überlässt uns am Wochenende ihr Haus.,neutral,198
"So, erst mal gut mischen.",neutral,198
Welche?  Links.,joy,198
Welche?  Links.,neutral,198
Danke sehr.  Gern geschehen.,neutral,198
Ross.  Joey.,neutral,198
Ross.  Joey.,surprise,198
"Tauschen wir, ja?  Ja, ist gut.",joy,198
Sie hat es ganz tapfer aufgenommen.,neutral,198
"Tja, wir haben euch ganz schön eingeseift, was?",joy,198
"Nein, sie hat uns eingeseift.",anger,198
"Na gut, kommt,  gegen einen.",neutral,198
Was willst du noch hier? Sie hat eben mit dem Kerl Schluss gemacht.,surprise,198
"Ja. Jetzt ist, wenn dein Einsatz kommt.",joy,198
"Du solltest der erste Mann sein, den sie sieht, wenn Paolo das Feld räumt.",joy,198
Mein katholischer Freund hat recht.,neutral,198
Sie ist verzweifelt. Und du bist für sie da.,neutral,198
"Und nachdem du die Scherben aufgesammelt hast, leitest du",joy,198
(SINGT) <i>Happy birthday to you</i>,joy,288
Das wirst du bezahlen.  Nein! Sie hat doch Geburtstag.,neutral,288
Das wirst du bezahlen.  Nein! Sie hat doch Geburtstag.,surprise,288
"Du hast schon für  Frauen ""Happy Birthday"" gesungen.",surprise,288
"Du wirst jetzt endlich aufhören, GeburtstagsMuffins zu verteilen.",neutral,288
"Ach, verdammt!",anger,288
Rachel?,joy,288
Ja?  Hi. Ähm.,joy,288
"Hast du deiner Schwester gesagt, sie soll mit mir ausgehen?",neutral,288
"Weißt du, ja, habe ich.  Oh, wow! Ich meine, wow.",surprise,288
"Weißt du, ja, habe ich.  Oh, wow! Ich meine, wow.",neutral,288
"Ich finde sie ja ganz süß,",neutral,288
Wirklich nicht?  Nein.,joy,288
Wirklich nicht?  Nein.,surprise,288
Dagegen ist ja nichts einzuwenden. Ha.,neutral,288
Du bist sehr viel großzügiger als ich es wäre.,neutral,288
"Nachdem, was wir  alles durchgemacht haben.",neutral,288
"Du hast meinen Segen, wenn du dich mit Monica verabreden möchtest.",neutral,288
Und meinen auch.,joy,288
"Hier ist dein Tee, Phoebe.",neutral,690
Mm. Das tut gut.,joy,690
"Nichts zu danken.  Schön, alles klar.",joy,690
"Nichts zu danken.  Schön, alles klar.",joy,690
Oh.  Was ist?,surprise,690
Oh.  Was ist?,surprise,690
Der Tee ist von ihr.,surprise,690
Das könnten vielleicht schon die Wehen sein.,surprise,690
Wehen?  Meine Güte!,surprise,690
Ah!  Was ist los?,surprise,690
"Bis dann, Julio.  Adiós.",neutral,941
"Ach, sieh mal, Julio, hier hat jemand sein Buch vergessen.",surprise,941
"Nein, das hat niemand vergessen, das ist meins.",neutral,941
Ach ja?  Ja.,neutral,941
Die Blumen des Bösen von Baudelaire. Hast du es gelesen?,neutral,941
Und? Ist es sehr spannend?,neutral,941
"Es brachte mich in Wut, denn die Übersetzung ist nicht gut.",neutral,941
"Nun weiß ich's konkret, du bist ein Poet.",neutral,941
"Tja, also, äh... Ich bin wirklich ein Poet.",neutral,941
"Das hätte ich nicht gedacht. Ha, ha.",neutral,941
"Na, über Dinge, die mich beschäftigen.",neutral,941
"Ja, genau über diese Lippe möchte ich ein Gedicht schreiben.",joy,941
Und wie geht es nun weiter?,joy,941
Oh.,joy,297
"Ich kann nicht fassen, dass wir hier sind!",surprise,487
"Dr. Carlin, könnte ich Sie einen Moment sprechen?",neutral,799
"Mein Bruder, Dr. der Philosophie, würde gern wissen,",neutral,799
Nein.,neutral,799
Oh.,neutral,799
Entschuldigen Sie bitte.  Ja?,neutral,197
Entschuldigen Sie bitte.  Ja?,neutral,197
Sind Sie nicht Phoebe Buffay?  Ja.,neutral,197
Könnte ich ein Autogramm kriegen? Ich bin nämlich ein Fan.,joy,197
Oh ja.,joy,197
"Wie bitte?  Ich bin's, Joey.",surprise,197
"Wie bitte?  Ich bin's, Joey.",joy,197
Kennen wir uns irgendwoher?,surprise,197
Joey?,joy,197
Ich gehe jetzt.  Aber der Refrain!,neutral,197
"Hey, weißt du was?",neutral,197
Ja. Ja.,neutral,197
Vielen Dank für den netten Empfang.,neutral,845
"Es ist wirklich gut, in so einem Team zu arbeiten. Ich erwarte Sportsgeist!",neutral,845
"Es ist wirklich gut, in so einem Team zu arbeiten. Ich erwarte Sportsgeist!",joy,845
Dann wollen wir uns mal an die Arbeit,joy,845
Dann wollen wir uns mal an die Arbeit,neutral,845
"Hey, ich habe einen Martini, und den wollen ""wir"" jetzt trinken.",joy,845
Sie sind ja ein Scherzkeks. Wie heißen Sie?,neutral,845
