utterance,emotion,did
"Ich bin wirklich daran interessiert, hier zu arbeiten, weil",neutral,68
"Ich denke, dass meine Fähigkeiten (listen Sie ein paar Beispiele auf) perfekt für diesen Job sind, also würde ich mich freuen, von Ihnen zu hören",neutral,68
lol,joy,256
unsere Plätzchenteige sehen ganz anders aus,surprise,256
ach so,neutral,256
"Ich glaube nicht, dass es viel ausmachen wird",neutral,256
ok cool,neutral,256
"Ja, ich erkannte, dass Sie wahrscheinlich wie gekühlte Art Teig nach der Tatsache gemeint",neutral,256
ach so,neutral,256
Bild senden,neutral,256
kein Telefon lmao,joy,256
verwenden Sie einfach wie die erste,neutral,256
es ist aber in Ordnung,neutral,256
"sie kann nicht erwarten, dass alles perfekt ist",neutral,256
"Ja, wir werden nicht die gleiche Art von Keksteig haben",neutral,256
wen kümmert's,non-neutral,256
nicht ich...,non-neutral,256
ficken arttttt,anger,256
Im Cocktailbereich befinden sich kostenlose Ladestationen,neutral,541
Nur 21+ Personen können den Cocktailbereich betreten,neutral,541
Ich fühle mich #Gesegnet,joy,541
Jungtiere können nicht aufladen,non-neutral,541
Nicht umsonst,neutral,541
Ein Ladeschrank für das Wochenende kostet 35 Ez-Bucks,neutral,541
"Zum Vergleich: Für $50 erhalten Sie 22,5 Ez-Bucks",neutral,541
Die Augen der Schlange wurden rot,neutral,541
Brutto und Hurra,disgust,541
Zeit für ein hartes Pregame morgen,neutral,541
WOMAN. WAS MIT MEINEM UPDATE PASSIERT IST,non-neutral,188
WIE SIND SIE,neutral,188
SIND SIE TOT,non-neutral,188
Person_104,non-neutral,188
Ich bin innerlich tot,sadness,188
Und so sind meine Noten,non-neutral,188
"Shhhh. Ich lade Sie zum Brunch ein. Wenn Sie bis dahin noch kein Leben haben, werden Sie es nach einem guten alten Brunch mit Person_105 haben.",joy,188
"Das ist jetzt Vergangenheit. Jetzt nur noch die Zukunft, auf die man sich freuen kann.",joy,188
Sie haben wie immer Recht,neutral,188
"Ja, natürlich! ICH BIN SO AUFGEREGT.",joy,188
"Oh, mein Gott. Ich habe vergessen, wie sehr ich es liebe, gute Bücher zu lesen.",joy,188
Puh.,neutral,188
Welche Bücher lesen Sie,neutral,188
"Nun, ich habe gerade Ready Player One beendet.",neutral,188
Nicht nur. Habe es vor ein paar Jahren fertiggestellt. Ein paar was? Ich weiß nicht. Gegen 11:11,neutral,188
Aber das ist so eine Sache.,neutral,188
Was machst du gerade wach? Welches Finale haben Sie morgen?,neutral,188
Morgen zum Glück nicht,joy,188
GUT. SCHLAFEN.,neutral,188
JETZT.,neutral,188
"Sie wollen einen Obelisken, richtig?",neutral,569
Und tun?,surprise,569
"Ja, es ist eine von den Dosen",neutral,569
Aber wollten/brauchten Sie etwas aus den Dosen,neutral,569
Was haben Sie bekommen,neutral,569
"Ich werde überprüfen müssen, ich bin durch das Spiel beharren im Moment, aber ich weiß, Obelisk blauen Augen blauen Augen Geist d / d / Karten ungerade Augen Vortex Twin Roster Drache meldoe Glas von Aktiven und ein Bündel von Müll Ich werde Ihnen sagen, was ich habe. person_283 Ich nach Hause kommen",neutral,569
Sie brauchen Melody und Spirit lol,neutral,569
Ja und Twisters,neutral,569
Lol,joy,569
Haben Sie 1 Dose gekauft?,neutral,569
Ich habe 2,neutral,569
Ohhh,neutral,569
Einzelkauf für den Rest,neutral,569
Günstig AF,neutral,569
Ich habe einen gekauft und mein Vater hat mir einen geschenkt,neutral,569
"Aber nein, Sie brauchten nichts",neutral,569
Person_305,joy,636
Hier dasselbe,neutral,636
"Ok, aber kam es Ihnen nicht zu einfach vor",neutral,636
Ich mag alles beantworten,neutral,636
"Aber ich denke, dass einige meiner Antworten nicht richtig waren",neutral,636
Wie,neutral,636
Das verdammte Strombaum-Ding,non-neutral,636
"Ich dachte, der Satzteil sei einfach",neutral,636
Ich bin mir ehrlich gesagt nicht sicher,neutral,636
"Die gute Nachricht ist, dass wir es heute Abend wissen werden",neutral,636
Was warten,surprise,636
Wie,surprise,636
Sie benoten es heute anscheinend,neutral,636
Was zum Teufel,surprise,636
Heilige Scheiße,surprise,636
Es ist eine Klasse für 300 Personen,surprise,636
Ya,neutral,636
Keine Ahnung,neutral,636
"Aber das ist, was sie sagten",neutral,636
"Das ist verdammt verrückt, wow",surprise,636
Oh mein Gott Kumpel,surprise,636
Ich will es einfach schon wissen,non-neutral,636
Person_92,neutral,159
Haben Sie Ihren Prüfungs-Spickzettel-HL?,neutral,159
"es wurde gelöscht, als mein Laptop zurückgesetzt wurde",neutral,159
sorry yo :/,sadness,159
Verdammt,non-neutral,159
"Ich kann herumfragen, ob mein Mitbewohner seinen hat",neutral,159
Kennen Sie jemanden mit einer,neutral,159
Person_93,neutral,159
"er wusste nicht, dass wir eine haben dürfen",neutral,159
Gott segne,neutral,159
sorry yo,sadness,159
"ok, also bin ich mir ziemlich sicher, dass die Eule der beliebteste Starter sein wird, also muss ich vielleicht am Ende das Siegel für den Hipster-Credo bekommen",neutral,143
"Oh nein, nicht",neutral,143
"Verdammt, Leute. Es ist eine kleine Baby-Eule mit einer kleinen Fliege.",neutral,143
Sein Körper ist eine Banane,neutral,143
Der Sean,neutral,143
Dichtung,neutral,143
"Ok, das ist irgendwie süß",neutral,143
Und realistisch betrachtet wird es wahrscheinlich die beste 3. Evolution haben,neutral,143
"Ja, ich denke, wir müssen abwarten und sehen",neutral,143
"Außerdem werde ich mich wahrscheinlich für die Sonne entscheiden, weil mir das Aussehen der Legende besser gefällt und aus keinem anderen Grund",neutral,143
Aber...,neutral,210
"Sie sagen, dass C nicht stark ist",neutral,210
"Und das ist der Grund, warum Sie nicht an Softwarefirmen teilnehmen",neutral,210
Und nicht Kern,neutral,210
Aufgrund von technischen,neutral,210
Was bleibt dann noch übrig?,non-neutral,210
Beratung :P,joy,210
Software oder Kern Es gibt nur zwei Arten von Unternehmen,neutral,210
Das ist mehr oder weniger Software,neutral,210
Okay Nieming,neutral,210
neeeeeeeeeeeeeeeeeeein,non-neutral,210
Lernen Sie einfach gut für alles Mögliche,neutral,210
es gibt einen großen Unterschied !,surprise,210
Ja,neutral,210
Okay,neutral,210
aap kya kar rahe hoooooooooo,non-neutral,210
Gibt Ihr Chef heute Unterricht,neutral,88
"Ja, das ist sie!!",joy,88
Gehst du?,neutral,88
Person_60,joy,88
Ich denke schon,neutral,88
Wir gehen also nach,neutral,88
Zusammen ?,neutral,88
Oder Sie müssen nicht teilnehmen,neutral,88
Person_61,joy,88
"Ja, wir gehen",neutral,88
Aber sie spricht nur über den Standort_25,joy,88
Und wohin man in den Urlaub fährt,neutral,88
Person_236 c:,neutral,608
welche Größe hat die Jeans ^-^,neutral,608
mex 28,neutral,608
wahrscheinlich zu groß für Sie LOL,joy,608
:(,sadness,608
okay,neutral,608
person_236 wie haben Sie Ihre Rede für prhead c geschrieben:,neutral,608
r u kandidiert für pr head!,non-neutral,608
mm idk ich habe es gerade geschrieben,neutral,608
pr-Chef und Historiker,neutral,608
ooooo,surprise,608
worüber haben Sie geschrieben,neutral,608
"Ja, wie Dinge, die Sie an der TSA mögen usw.",neutral,608
okay ^^,neutral,608
ya idk ist schwer,neutral,608
"Ich glaube nicht, dass ich gegen Person_399 gewinnen kann.",fear,608
u nvr wissen Mann,neutral,608
deshalb tri,neutral,608
Sie versuchen~,neutral,608
und es gibt immer Historiker hehe,joy,608
Bin bald da,neutral,566
Lol Ich bin immer noch auf dem Campus!,joy,566
Dang,non-neutral,566
Wann fahren Sie zurück?  Jemand zu Hause?,neutral,566
"Ähm, ich habe vor, bald mit dem Fahrrad rüberzufahren :P",neutral,566
Wird wahrscheinlich ~10min dauern?,neutral,566
Np,neutral,566
Wir sind noch nicht weg,neutral,566
Person_281,neutral,566
LOL,joy,9
Haben Sie es trotzdem eingebaut,neutral,9
Ich stecke es immer rein ;),joy,9
"Nicht wirklich, ich konnte keine Gelegenheit finden",sadness,9
Dieser Test war langweilig,non-neutral,9
Sollte es spannend sein,neutral,9
Ja,neutral,9
Du hättest mich küssen sollen,sadness,9
Sie waren zu weit weg,sadness,9
Zu viel haben wir,neutral,9
Aufwand,neutral,9
"Leider nicht wert, schätze ich",sadness,9
Sie haben etwas verpasst,sadness,9
keine Sorge,neutral,9
wir werden uns wiedersehen,non-neutral,9
Ich biete Ihnen eine weitere Möglichkeit,joy,9
Wir haben nur noch 7 Tage bis zum Ende des Unterrichts,neutral,9
Das Fenster wird geschlossen,neutral,9
wir sind College-Studenten,neutral,9
"Prokrastination ist das, was wir tun",neutral,9
Ich bin ein Experte,neutral,9
"Man muss nur den richtigen Zeitpunkt finden, eine schöne private Location mit guten Vibes LOL",joy,9
Das kann man nicht prokrastinieren!!! Es muss etwas Besonderes sein </3,non-neutral,9
"Und es wird etwas Besonderes sein, weil es prokrastiniert wurde! <3",joy,9
I babu,joy,451
yo,neutral,451
"Sie müssen auch überprüfen, ob Sie mein Opt-Rezept erhalten haben",neutral,451
:(,sadness,451
Ich mache mir jetzt ein wenig Sorgen,sadness,451
verdammt noch mal,anger,451
so leid,sadness,451
jeder hat seind,neutral,451
"ill tun es erste Sache, wenn ich heute erreichen",neutral,451
"Ich weiß nicht einmal, was ich tun soll, wenn ich meine nicht bekomme",non-neutral,451
okay bitte tun Sie das,neutral,451
Sie erhalten dont worry,neutral,451
Haben Sie eine E-Mail erhalten?,neutral,451
"Ich habe E-Mail, die ich Ihnen gezeigt naa",neutral,451
die eine Quittungsnummer hat naah ?,neutral,451
"online prüfen, welcher Status für diese Belegnummer angezeigt wird",neutral,451
Fall war Empfänger,neutral,451
ok,neutral,451
"Am 21. März 2016 haben wir Ihr Formular I-765, Organisation_48 , Empfangsnummer WAC1690378242, erhalten und Ihnen die Empfangsbestätigung geschickt, in der beschrieben wird, wie wir Ihren Fall bearbeiten werden. Bitte befolgen Sie die Anweisungen in der Benachrichtigung. Wenn Sie Ihre Empfangsbestätigung nicht bis zum 20. April 2016 erhalten haben, rufen Sie bitte Organisation_49 unter 1-800-375-5283 an.",neutral,451
Sie müssen heute den Empfang prüfen,neutral,451
ok,neutral,451
ohh haha okay,non-neutral,544
"Ich denke, ich habe jetzt eine Vorstellung davon, wie es ist",neutral,544
dann danach viel weniger Stress,neutral,544
?,neutral,544
nein lol,non-neutral,544
danach mehr Stress,neutral,544
weil Abschlusspräsentationen am Montag,neutral,544
wir sind die erste Gruppe,neutral,544
dann letzte Demo am Donnerstagmorgen,neutral,544
930am T.T,neutral,544
"bedeutet, dass mein Produzent uns bittet, um 8 Uhr zu kommen",non-neutral,544
T.T,neutral,544
wahhh,sadness,544
wann ist für Sie alles vorbei?,neutral,544
vor oder nach dem Potluck?,neutral,544
nach haha,joy,544
mein Game Design Pitch ist am 9. Mai,neutral,544
oh wow,surprise,544
alright,neutral,544
ich auch,neutral,544
Ich habe eine Abschluss- und Projektpräsentation an diesem Tag,neutral,544
"Ich habe ein Reh angeheuert, das damit droht, in das Auto desjenigen zu rennen, der Ihre Annahme-E-Mail überhaupt erst versaut hat. Ich habe ihm für sein Angebot gedankt, ein Märtyrer für Ihre Sache zu werden",neutral,144
ah. wie rücksichtsvoll,neutral,144
ich tue was ich kann,neutral,144
Unterstützung unter den Tieren für Sie zu inspirieren,neutral,144
macht Sie das zu einer Disney-Prinzessin,neutral,144
"Nur wenn es mich zu Dornröschen macht, nehme ich an. Sie ist die einzige Blondine, auf die das zutrifft.",neutral,144
"sagen wir mal nein, diese Geschichte ist ein bisschen zu nah an der Nekrophilie",neutral,144
Das habe ich auch gedacht. Sie ist nicht einer meiner Lieblinge,neutral,144
lol gerade beendet,joy,202
super hart pls,neutral,202
und ich habe einen mathematischen Fehler gemacht,neutral,202
ein dummer Fehler,neutral,202
konnte nicht dividieren lol,joy,202
Oh Mann,non-neutral,202
und ließ mich Punkte verlieren,neutral,202
"Warte, sind die Ergebnisse schon da?",surprise,202
"hoffentlich kann ich einen Teil des Kredits bekommen, weil ich die Emthode gezeigt habe",neutral,202
eh nein la,neutral,202
aber ich weiß haha aus Gesprächen mit ppl,joy,202
 Oh ok,neutral,202
"Haha nun, denken Sie nicht zu viel darüber nach",neutral,202
"Es ist schon vorbei und Sie können nichts daran ändern, also macht es keinen Sinn, sich darüber Gedanken zu machen!",neutral,202
"Ja, oh gut",neutral,202
zu viel Arbeit für anw,neutral,202
jetzt schon mit mehr Arbeit beginnen,neutral,202
Noch 2 Wochen!,joy,202
Jiayou haha,joy,202
"DAS IST DAS EINZIGE CHINESISCH, DAS SIE MICH JEMALS TIPPEN SEHEN WERDEN",neutral,202
Ich habe die linken Flammen versaut,non-neutral,127
WIP,neutral,127
Woah was?,surprise,127
Woah der Baum,surprise,127
Meh es ist in Ordnung,neutral,127
Oh,neutral,127
"person_389 hat die Frist verlängert, wie vorhergesagt",neutral,127
"Ich bin fertig damit, mich um dieses Projekt zu kümmern",disgust,127
Auch Person_390 mag mich wirklich nicht,sadness,127
"Ich fragte, ob ich einen Buntstift für das Haus des Kindes bekommen könnte, und sie sagte mir ziemlich streng, ich solle mit den Materialien arbeiten, die ich habe",non-neutral,127
*d,neutral,127
Aufreißen,non-neutral,127
Sie mochte mich auch nicht,neutral,127
"Aber das liegt daran, dass ich ein Erstsemester war und sie Senioren liebt",neutral,127
Was ist Ihre Ausrede :p,joy,127
Ich kündige,non-neutral,127
"Ich muss nur noch das Cover machen, denke ich",neutral,127
Haben Sie alle Personen gemalt?,neutral,127
Ja,neutral,127
Schön,joy,127
"Ich schätze, ich könnte",neutral,233
vielleicht,neutral,233
idk Ich hatte den freien Peezy zu time_1,neutral,233
"Jemand Lust, heute Abend abzuhängen/über Gefühle zu reden?",neutral,233
Ich gehe jetzt vom Campus zum Rosentee,neutral,233
"Habe ein Referat zu schreiben nach so vielleicht abhängen, wie time_2, aber keine Garantien",neutral,233
jeesh,neutral,233
Seine nicht ein Spaß Woche für mich,sadness,233
Ich werde 4 u beten,neutral,233
Person_489 beschwert sich am Telefon bei einem Freund über Person_387,non-neutral,607
"Ich dachte, Sie mögen Person_225",neutral,607
"Ich tue, aber Person_489 ist gedrückt, weil sie das Fenster offen gelassen hat",neutral,607
person_489 mag keine von ihnen,neutral,607
Und Person_489 mag mich auch nicht,non-neutral,607
"aber sie stimmt zu, dass Person_387 besser ist als Person_388",neutral,607
Sie mag nur Sie,non-neutral,607
Aber du magst sie nicht,non-neutral,607
"Was meinst du damit, dass sie dich nicht mag?",non-neutral,607
Sie mag Sie wirklich,non-neutral,607
ich mag eher,joy,607
"Sie sagen, sie mag es nicht, wenn ich sie besuche.",non-neutral,607
nur nicht als Mitbewohnerin,neutral,607
"Ok, das Spiel ist vorbei, wir sind in 25 Minuten zu Hause.",neutral,620
"Ich habe ein bisschen getrödelt und etwas repariert und dann gemerkt, dass ich dein Ding in der Spüle vergessen habe",neutral,620
Lol,joy,620
"So, das ist in meinem Rucksack und ich gehe jetzt",neutral,620
Oh okay,neutral,620
Kühl,neutral,620
Prokrastination,neutral,507
"Außerdem glaube ich, dass es um 17 Uhr geschlossen hat. lol",neutral,507
Ich gehe den Rasen mähen,neutral,507
lolll,joy,507
person_403 welches Auto planen Ihre Eltern zu bekommen,neutral,507
wozu nicht prokrastinieren,non-neutral,507
Entweder eine Organisation_53 RAV4 oder ein Honda CRV,neutral,507
wow schön,non-neutral,507
Personen sind graduiert,neutral,507
Oh nein :(,sadness,507
lol und es gibt einen Haufen seltsamer Auszeichnungen loll,non-neutral,507
"Meine Güte, ich kann mir nicht vorstellen, dass die Leute einen Abschluss machen.",non-neutral,507
Wie sehen die Auszeichnungen aus,neutral,507
Erwachsenwerden ist schwer,neutral,507
Person_252,neutral,507
ein Haufen Auszeichnungen,neutral,507
"Einer meiner Freunde, der Cs macht, hat einen Universitätspreis bekommen.",joy,507
"und dann ist sie wie uhhhh ich weiß nicht, wie ich es bekam lol",non-neutral,507
besonders die cs ppl,neutral,507
"kann mir nicht vorstellen, mit einem cs-Abschluss zu graduieren lmao",neutral,507
Sie ließ es so einfach und entspannt erscheinen,neutral,507
omg es ist so kalt hier drüben,non-neutral,507
Yessss,joy,119
Person_74 wieder herstellen,neutral,119
OH Person_75,surprise,119
TUN,neutral,119
"Ich überlege, ob ich die Daten von meiner alten 3ds auf diese neue übertragen soll",neutral,119
"Die Sache ist, Person-HL(1) leiht sich meine alte 3ds, um Fates zu spielen, weil Person_458 sich ihre ausleiht lmao",neutral,119
"Richtig. Warten Sie, was",surprise,119
Warum leiht sich Person_458 ihre aus?,non-neutral,119
Oh Mann,neutral,82
?,neutral,82
min ist auch das,neutral,82
Sie verwenden system-HL(1)?,neutral,82
ähm ich habe mingw installiert,neutral,82
was ist Ihr gcc -V,neutral,82
"nein ich glaube nicht, dass ich msys2 benutze",neutral,82
"Thread-Modell: posix/ngcc Version 5.3.0 (x86_64-posix-seh-rev0, gebaut vom MinGW-W64-Projekt)",neutral,82
ooooo,neutral,82
"sie sagen, Sie sollen System-HL(2) verwenden",neutral,82
"Oh, ähm, ich werde sehen, wie ich das downgraden kann.",neutral,82
ich muss es verpasst haben,neutral,82
unter dem Abschnitt Gebäude auf Fenster,neutral,82
:/,neutral,82
das ist aber zum Aufbau von Rost,neutral,82
"ich bin mir sicher, dass Sie ein kompatibles abi benötigen, wenn Sie c-libs bauen, mit denen rust gelinkt werden muss",neutral,82
ich habe keine msys2 installiert,neutral,82
"denken Sie, dass woldb erforderlich?",neutral,82
"Nein. Ich denke, dass nur die unterschiedliche Version von gcc das Problem sein könnte",neutral,82
ok il versuchen das,neutral,82
Omg ich bin eine Tante!!! :D,joy,712
"Loll erste Cousine, die ein Baby bekommt^^",joy,712
!!!!!! AHH SO PRECIOUS :') herzlichen Glückwunsch zum Upgrade,joy,712
omgggg,non-neutral,712
so niedlich,joy,712
heh,joy,712
Yisss hehe thanx :3,joy,712
Omg bin ich jetzt alt geworden lol,non-neutral,712
Jupp,neutral,180
Das habe ich mir auch gedacht,neutral,180
"Ahhh, ich sollte es in ein paar Stunden schaffen.",neutral,180
aber ich bin so faul,sadness,180
Hahaha,joy,180
Viel Glück yo,neutral,180
Was haben Sie getrieben,neutral,180
Wo wollen Sie hin?,neutral,180
ich habe Standort-HL[1] in 2 Wochen geplant,neutral,180
und dann Standort-HL[2] in 3,neutral,180
ich habe hier eine so schlechte Klasse gewählt haha,non-neutral,180
es ist ehrlich gesagt so schwer,sadness,180
Oh nein lol welche Klasse?,surprise,180
Gehen Sie zu Person_349,neutral,180
ya,neutral,180
freies Gehäuse op,neutral,180
sie ist allerdings ziemlich weit vom Standort-HL[3] entfernt,neutral,180
Ohhh,neutral,180
Kumpel so cool,joy,180
Wie lange gehen Sie?,neutral,180
4 Tage glaube ich,neutral,180
vielleicht 5,neutral,180
Ich erinnere mich nicht,neutral,180
Hersteller auf dem Campus zu beobachten: link_6,neutral,185
Ist das ernst gemeint oder nicht?,surprise,185
"Auch brauchen Sie etwas? Ich gehe heute zu Wal Mart, um irgendwann Person-HL-Sprühfarbe zu kaufen, haha",neutral,185
"er ist von zbt ich denke, ernsthaft er wird besser haha. und nah, ich bin unterwegs yo Organisation_21 mit meiner Mutter cuz sie ist nie gewesen",neutral,185
"Oh richtig, haha, wie ist das?",neutral,185
Nicht schlecht. Artikel im Auto lesen,neutral,185
Sie MÜSSEN zur Bäckerei Mama Ines in Lafayette gehen,joy,185
verdammt billige mexikanische Bäckerei mit einer riesigen Auswahl an tollen Sachen,joy,185
"Oh Gott, verdammt. Ich liebe alles Mexikanische...",joy,185
Kumpel,joy,185
wir haben 4 große Donut-Dinger,joy,185
und ausgegeben $3.56,joy,185
HEILIGE SCHEISSE,surprise,185
YEP,joy,185
"Ich brauche so viele, wie ich bekommen kann",neutral,185
Sie haben von 5 Uhr morgens bis verdammt nochmal 22 Uhr abends geöffnet.,joy,185
"Heilige Scheiße, das ist ein Alptraum für Mitarbeiter hahahaha",surprise,185
Aber dat Geld do,neutral,185
sie machen auch verrückte Kuchen Boss Scheiße,neutral,185
Können wir einen für jemandes Geburtstag kaufen?,neutral,185
Wahrscheinlich lo,neutral,185
muss diese Preise finden,neutral,185
Mmmmmm Kuchen.,joy,185
"Hast du das Hunde-Gif gesehen, das ich dir geschickt habe?",neutral,61
"Der Hund, der um einen Knochen kämpft?",neutral,61
Besitzer hat seinen Knochen gestohlen,neutral,61
"er war traurig, weil die Person den Knochen hielt und naschende Bewegungen machte",non-neutral,61
Dogen wollten Knochen zurück,neutral,61
Ja,neutral,61
es war sehr frustriert doge,neutral,61
Das war der Knochen von Doggo,neutral,61
ja,neutral,61
Werde mich mit meiner Mutter treffen,neutral,61
heute?,surprise,61
Ja,neutral,61
Sie möchte spontan besuchen,neutral,61
aus Philadelphia?,neutral,61
Wo wohnt sie?,neutral,61
Das Hotel,neutral,61
interessant,neutral,61
"Sie sagte: ""Weil mein Vater in location_19 ist, möchte ich dich besuchen kommen.",neutral,61
Also vielleicht ist sie einsam,sadness,61
ach arme Mami,sadness,61
Sie hat aber meinen Bruder,neutral,61
"""Wir haben das ausprobiert und unsere erste Katze war #145 und die zweite war #434, es ist also unklar, wie viele es genau zu sammeln gibt.""",neutral,269
ähmmm,neutral,269
@ Google,neutral,269
Unendlich viele Katzen,neutral,269
ich warte immer noch auf eine einzelne Katze,neutral,269
Haben Sie bereits Nougat erhalten wtf,surprise,269
Ach ja,neutral,269
Nexus,neutral,269
ya,neutral,269
Gdi,neutral,269
"Ich wünschte, ich habe nexus 6 aber 5x ist ziemlich gut",joy,269
Arbeiten!,neutral,347
Sekten,neutral,347
"Beides, wenn Sie Glück haben",neutral,347
"Aber auf der Arbeit gibt es nicht immer einen Haufen Leute in Ihrem Alter oder Leute, die cool genug sind, um abzuhängen",neutral,347
Dann sind Sie wohl auf dem falschen Gebiet,non-neutral,347
"Ich sehe, Sie haben Kult nicht widerlegt",neutral,347
"Natürlich nicht, Kultfreunde = friends 4 lyfe",neutral,347
Aber Kulte sind zu viel Arbeit für mich,neutral,347
"Glaubst du, wir sind eine Sekte?",neutral,347
O,neutral,347
Das Bild war nur ein Kreis?,neutral,347
"Nein, man kann keine Sekte mit nur 2,5 Personen haben",neutral,347
.5?,neutral,347
"Ist das eine Sache der Rasse, weil halb schwarz",neutral,347
person_185 wird oft entführt,neutral,347
Oder weil jeder,neutral,347
Ah ja,neutral,347
Mir zuvorgekommen,neutral,347
"Wow, das würde ich nie tun",non-neutral,347
"Hey, bist du zu Hause?",neutral,24
ja,neutral,24
Können Sie die Tür für Person_411 öffnen?,neutral,24
wie Haustür?,neutral,24
Und wir bringen den Futon nach,neutral,24
oh meine Tür,neutral,24
"Nein, nur Ihre Wohnungstür",neutral,24
Ya haha,joy,24
btw um wie viel Uhr am 15. kann ich rübergehen? ich muss meine Tickets nach nyc buchen (:,neutral,644
Danke!,joy,644
"gut ill werden ausziehen, so könnte es ein bisschen chaotisch sein, aber Sie können jederzeit nach wie time_1 kommen?",neutral,644
OK!,joy,644
ich werde wahrscheinlich den Nachtbus nehmen und dann um 9 Uhr rüberfahren,neutral,644
Dank (:,joy,644
sicher kein Problem!,joy,644
"und Person_443 hat immer noch nicht geantwortet, aber ich werde Ihnen den Kontext von Person_311 geben, sobald ich ihn habe",neutral,644
sicher keine Sorgen (:,joy,644
Guten Morgen,neutral,524
"Rate mal, wer gerade aufgewacht ist",neutral,524
Ich liebe dich,joy,524
Wie geht es Ihnen?,neutral,524
Kranke,sadness,524
Aw 😞,sadness,524
"Ich wachte um etwa 7 Uhr auf, nahm ein abschwellendes Mittel und schlief wieder ein.",non-neutral,524
Wie geht es Madison?,neutral,524
Es ist gut,neutral,524
Wir sitzen in einem Garten,neutral,524
(y),neutral,524
Wir aßen eine große Portion scharfes und würziges Käsebrot,neutral,524
klingt lecker,neutral,524
Das war es.,neutral,524
"Wie 12"" im Durchmesser und 5-6"" hoch",neutral,524
das ist eine Menge Brot,non-neutral,524
"Ja, es war großartig",joy,524
:p,joy,586
Ich habe meine Vorhänge offen gelassen,neutral,586
Sind Sie wieder ins Bett gegangen?,neutral,586
Ich habe nicht,neutral,586
"Ich weiß nicht, warum ich das nicht gesehen habe",neutral,586
Gleich unter die Dusche gehen,neutral,586
Okie dokie,neutral,586
Ich liebe dich,joy,586
Ich liebe dich auch,joy,586
"Das Gleiche, ich versuche nur, dieses Semester hinter mich zu bringen.",neutral,522
"Ich brauche den harten Reset des Sommers, bevor ich Physik 2 nehmen kann",neutral,522
Ich kann nicht bis zum Sommer warten,neutral,522
Nächste Woche ist die letzte Woche der Schule für mich,neutral,522
Dann ist die Prüfungswoche,neutral,522
Ich habe 4 Abschlussprüfungen und 1 Aufsatz,neutral,522
Lassen Sie mich los,neutral,522
"Ich glaube, ich habe 3 Abschlussprüfungen und ein Laborpraktikum",neutral,522
Ist das wie ein Laborbericht?,neutral,522
"Es ist wie ein Finale, nur mit mehr Praxisbezug.",neutral,522
wie letztes Semester mussten wir Schaltkreise und so weiter machen,neutral,522
"Das scheint ein interessanter Ansatz für das Finale zu sein, wenn nicht sogar besser",neutral,522
sonst*,neutral,522
"Ja, es ist eine gute Abwechslung zu den Prüfungen im Sitzen",neutral,522
"Ich habe aber noch etwa einen Monat Zeit, was schade ist.",sadness,522
ach,surprise,522
Ich kann das Licht am Ende des Tunnels sehen,joy,522
aber der Tunnel ist mit Scheiße übersät,non-neutral,522
noch so viel zu lernen,neutral,522
Ich hätte einfach ein einfaches Hauptfach wie Cs machen sollen,sadness,522
"oh auch, ich bin mir nicht sicher, ob ich es gesagt habe, aber wir haben vor etwa einer Woche offiziell erklärt und ich habe Computer Engineering gewählt",neutral,522
Schön,joy,522
